"AnimalName","numberOfAnimals","AnimalType"
"Burma",2,"Cat"
"Shilo",2,"Cat"
"Ramses",2,"Cat"
"Fi Fi",2,"Cat"
"Nibbles",2,"Cat"
"Cruz",2,"Cat"
"Sascha",2,"Cat"
"Lincoln",2,"Cat"
"Ming",2,"Cat"
"Sampson",2,"Cat"
"Vanilla",2,"Cat"
"Not Supplied",2,"Cat"
"Inky",2,"Cat"
"Louise",2,"Cat"
"Cody",2,"Cat"
"Megs",2,"Cat"
"Kassie",2,"Cat"
"Morty",2,"Cat"
"Bam",2,"Cat"
"Sooky",2,"Cat"
"Megsie",2,"Cat"
"Maeve",2,"Cat"
"Taffy",2,"Cat"
"Tai",2,"Cat"
"Tui",2,"Cat"
"Forest",2,"Cat"
"Nelly",2,"Cat"
"Sprinkles",2,"Cat"
"Cola",2,"Cat"
"Pesto",2,"Cat"
"Lexy",2,"Cat"
"Zed",2,"Cat"
"Bobbie",2,"Cat"
"no name supplied",2,"Cat"
"Soxie",2,"Cat"
"Akira",2,"Cat"
"Merlot",2,"Cat"
"Indigo",2,"Cat"
"Spunky",2,"Cat"
"BobCat",2,"Cat"
"Lexie",2,"Cat"
"Isabel",2,"Cat"
"zazi",2,"Cat"
"Bessie",2,"Cat"
"Zazu",2,"Cat"
"Maria",2,"Cat"
"Bastet",2,"Cat"
"Beans",2,"Cat"
"Gemini",2,"Cat"
"Tom Tom",2,"Cat"
"Ashlee",2,"Cat"
"Abbi",2,"Cat"
"Piglet",2,"Cat"
"Gismo",2,"Cat"
"Kobi",2,"Cat"
"Zorro",2,"Cat"
"Delta",2,"Cat"
"Brownie",2,"Cat"
"Gandalf",2,"Cat"
"Turbine",2,"Cat"
"Annika",2,"Cat"
"Kc",2,"Cat"
"Pasha",2,"Cat"
"Tim",2,"Cat"
"Oddie",2,"Cat"
"Kayla",2,"Cat"
"Jinxy",2,"Cat"
"Talulah",2,"Cat"
"Zeb",2,"Cat"
"Bijou",2,"Cat"
"Jedda",2,"Cat"
"Travis",2,"Cat"
"Meggsie",2,"Cat"
"Bon bon",2,"Cat"
"Enzo",2,"Cat"
"Lois",2,"Cat"
"Marlee",2,"Cat"
"Treasure",2,"Cat"
"Cyrus",2,"Cat"
"Big boy",2,"Cat"
"Trilby",2,"Cat"
"Puss-puss",2,"Cat"
"Gabi",2,"Cat"
"Toffee",2,"Cat"
"Kat",2,"Cat"
"Aurora",2,"Cat"
"Chaz",2,"Cat"
"Roxanne",2,"Cat"
